price,rooms,metro,metro_time,description,address,Общая,Жилая,Кухня,Этаж,Построен,Можно с детьми,Холодильник,Посудомоечная машина,Стиральная машина,Мебель в комнатах,Мебель на кухне,Кондиционер,Телевизор,Интернет,Ванна,Планировка,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Лифты,Аварийность,Парковка,Мусоропровод,Газоснабжение,lat,lng,URL,Год постройки,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Душевая кабина,Можно с животными,Тип жилья
37 000 ₽/мес.,"2-комн. квартира, 44,1 м²",Ленинский проспект, ⋅  11 мин. пешком,"Сдаётся квартира на длительный период в 10 минутах от метро Ленинский проспект. Дом комфорт-класса. В квартире есть всё необходимое. Сделан хороший ремонт. Вся необходимая для жизни инфраструктура в пешей доступности. Во дворе садики, рядом школа. Имеются парковки-стоянки. Залог 37000. К/у оплачиваются отдельно. Отдам предпочтение семейной паре или девушке. Животные по договорённости.","Санкт-Петербург, р-н Кировский, Княжево, просп. Народного ополчения, 10","44,1 м²",23 м²,9 м²,4 из 21,2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Смежно-изолированная,"2,8 м",1 раздельный,Есть,"1 балкон, 1 лоджия",Дизайнерский,На улицу,"1 пасс., 1 груз.",Нет,Наземная,Нет,Автономное,59.850952,30.281418,https://spb.cian.ru/rent/flat/246712086/,,,,,,,,,
14 000 ₽/мес.,"1-комн. квартира, 33 м²",,,"Сдается на длительный срок 1 комн. квартира, произведен косметический ремонт, квартира светлая и теплая, из окон открывается прекрасный вид. В квартире имеется вся необходимая для проживания мебель и техника- диван, шкаф,  кухонная мебель, холодильник, микроволн. печь, стиральная машина автомат. Звоните, показы по договоренности.","Санкт-Петербург, р-н Красносельский, мкр. Красное Село, Кингисеппское ш., 6",33 м²,18 м²,7 м²,6 из 9,1975,,1.0,,1.0,1.0,1.0,,,,1.0,,,1 совмещенный,Есть,1 балкон,Косметический,Во двор,Есть,Нет,,Есть,Центральное,59.721511,30.076242,https://spb.cian.ru/rent/flat/246711397/,1975,1-528КП,Кирпичный,Железобетонные,4,Центральное,,,
25 000 ₽/мес.,"2-комн. квартира, 44,7 м²",Пионерская, ⋅  15 мин. пешком,"Сдается 2х комнатная квартира, от собственника, на длительный срок. С мебелью и бытовой техникой. Для граждан РФ, можно с детьми.
Квартира уютная и светлая. Дом теплый, с мусоропроводом. Счётчики на воду, электричество. Свежий ремонт (март 2020г.).С/У в кафельной плитке (советского образца). Установлена железная дверь, домофон, интернет и т.д. Окна выходят во двор, тихо, спокойно. Во дворе детский сад, рядом школа. Вся инфраструктура в пешей доступности. 
До метро Пионерская или Комендантский Проспект - 7-10 мин. пешком, или 3 мин. транспортом. (остановка рядом).
Оплата: 25000р. + КУ(примерно 3800р.(летом дешевле)) + залог за 1 мес.(можно разбить на две части). Составление договора. Без комиссии! Звонить с 9-00 до 21-30.","Санкт-Петербург, р-н Приморский, Комендантский аэродром, Серебристый бул., 22К3","44,7 м²",27 м²,6 м²,4 из 9,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,Изолированная,,1 раздельный,Есть,1 лоджия,Косметический,Во двор,Есть,Нет,,Есть,,60.006345,30.278911,https://spb.cian.ru/rent/flat/246711314/,,,,,,,,,
20 000 ₽/мес.,"1-комн. квартира, 35 м²",Звездная, ⋅  25 мин. пешком,"Сдается на долгий срок, светлая и теплая квартира, от собственника.
Ухоженный двор с детскими площадками. Магазины и пекарня в шаговой доступности.
В квартире свежий ремонт и новая мебель.
В комнате раскладывающийся диван, комод, вешалка для одежды.
Кухня оборудована гарнитуром, электроплитой с духовым шкафом, холодильник, чайник. Есть посуда.
Ванна со стиральной машиной.
До метро Зведная пешком 25 мин. Транспорт от метро пустят в декабре.","Санкт-Петербург, р-н Московский, Звёздное, проезд Дизельный, 11к1",35 м²,"15,4 м²","9,6 м²",14 из 18,2019,1.0,1.0,,1.0,1.0,1.0,,,,,,,1 совмещенный,,1 лоджия,Евроремонт,На улицу,"1 пасс., 1 груз.",Нет,Наземная,,,59.819382,30.340976,https://spb.cian.ru/rent/flat/246709991/,2019,,,Железобетонные,5,,1.0,,
22 000 ₽/мес.,"Студия, 22 м²",Удельная, ⋅  10 мин. пешком,"EMLS ID 369220. Высокий первый этаж, отличный ремонт, повышенная шумоизоляция, применение современных технологий и экологически чистых материалов.Новая мебель. Отличное место, рядом центр,две станции метро, парк, места культурного отдыха, гипермаркеты и торговые центры. Есть закрытая парковка во дворе, высокий уровень безопасности. Возможна аренда от 3 месяцев Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Есть, TV-Есть, Евроремонт, Ванна Душ, Дверь Железная, Охраняемая парковка, окна во двор, Стиральная машина, Интернет, комиссия 0%;","Санкт-Петербург, р-н Выборгский, Светлановское, Нежинская ул., 4",22 м²,14 м²,3 м²,1 из 5,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,Евроремонт,Во двор,Есть,,,,,60.007645,30.323037,https://spb.cian.ru/rent/flat/246709436/,,,,,,,1.0,1.0,
39 000 ₽/мес.,"2-комн. квартира, 54,9 м²",Приморская, ⋅  15 мин. пешком,"Впервые сдаётся 2-комнатная квартира с евроремонтом, раздельным санузлом и лоджией, без депозита! Счётчики включены в арендную плату, коммунальные услуги оплачиваются отдельно. Полы  ламинат и плитка, в коридоре пол с подогревом. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, телевизор, душ, плита и стиральная машина. Проведён интернет с Wi-Fi и подключено ТВ. Окна выходят во двор и на улицу, есть бесплатная и парковка.

До м. Приморская можно дойти за 15 минут.

Собственник готов заселить не более 3 взрослых жильцов с детьми, оформить временную регистрацию или заключить договор с юридическим лицом. Гражданство: РФ и РБ. Можно с небольшой собакой или питомцем в клетке/аквариуме. Вывоз мебели по согласованию.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, салоны красоты и парикмахерские, фитнес-клубы, спортивный комплекс, аптеки и медицинские учреждения, кафе, бары и закусочные, ТЦ Морской. Недалеко парк Декабристов и сквер Александра Володина.","Санкт-Петербург, р-н Василеостровский, Остров Декабристов, ул. Кораблестроителей, 40К1","54,9 м²",32 м²,11 м²,12 из 16,1982,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,Изолированная,"2,6 м",1 раздельный,Есть,1 лоджия,Евроремонт,На улицу и двор,"1 пасс., 1 груз.",,Наземная,,,59.957363,30.223629,https://spb.cian.ru/rent/flat/246708456/,,,Панельный,,,,1.0,1.0,
22 000 ₽/мес.,"1-комн. квартира, 35 м²",,,"Сдам однокомнатную квартиру на улице Парашютная 65 (ЖК ""Шуваловский""). Метро Комендантский проспект. Собственник. Без комиссии. Новый дом. 17 этаж с видом на церковь. Вся мебель и техника новые, всё на гарантии. Для славян и без животных. Стоимость 22 000 рублей + к/у. Залог 100% (можно разбить на 2 месяца). Александр","Санкт-Петербург, р-н Приморский, Коломяги, Парашютная ул., 65",35 м²,14 м²,9 м²,17 из 25,2017,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,Есть,1 балкон,Евроремонт,,"2 пасс., 2 груз.",Нет,Наземная,Нет,,60.037674,30.250668,https://spb.cian.ru/rent/flat/246705023/,2017,,,Железобетонные,5,Центральное,,,
24 000 ₽/мес.,"2-комн. квартира, 49 м²",Дунайская, ⋅  5 мин. пешком,"EMLS ID 369219. Сдам 2к.кв. на длительный срок для семьи (можно с детьми) в пешей доступности от ст. м. ""Дунайская"". Квартира чистая, светлая. Без животных.
Залог можно разбить на 2 части. КУ оплачиваются дополнительно. Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Есть, TV-Есть, Ремонт Косметический, Ванна Продольная, НеОхраняемая парковка, без животных, комиссия 40%;","Санкт-Петербург, р-н Фрунзенский, № 75, Моравский пер., 7К1",49 м²,27 м²,7 м²,9 из 12,1983,1.0,1.0,,,1.0,1.0,,1.0,,1.0,Изолированная,,,Есть,,Косметический,,Есть,Нет,,,,59.838783,30.423801,https://spb.cian.ru/rent/flat/246703672/,1983,,Панельный,Железобетонные,6,Центральное,,,
20 800 ₽/мес.,"Студия, 22,6 м²",Комендантский проспект, ⋅  5 мин. на транспорте,"Сдам квартиру славянам. С 10 декабря 2020 года!
На долгий срок (от 6 месяцев). Договор обязателен! 

ЖК ""Граффити"". 20тыс руб. + КУ + залог 20тыс
На машине 8 минут до метро Пионерская и 5 минут до метро Комендантский проспект.

Яркие, оригинальные парадные, лифты Kone, видео наблюдение, консьерж. Современный жилой комплекс комфорт-класса, с благоустроенным, красивым двором. 

В доме: 
- Работающая, пожарная сигнализация, 
- Лифты Kone, 
- Видео наблюдение, 
- Консьерж, 
- Панорамные входные группы с двумя выходами  на улицу и во двор,
- Помывочная для велосипедов, колясок и собак, 
- Велосипедная парковка, 
- Детская площадка, 
- Паркинг,
- Супермаркет ""Лента"" в пешей доступности (3 мин).

В полностью оборудованной квартире: 
- Вся новая бытовая техника (холодильник, тв, плита, вытяжка, стиральная машина, утюг),
- Проведены тв и интернет,
- На кухне угловой диван для отдыха,
- Большой балкон, установлены дополнительные места для хранения ikea,
- Вся мебель новая,
- Стеклопакеты с вентиляционным клапаном Airbox, 
- Натяжные потолки, 
- Светодиодные лампы (небольшое энергопотребление),
- Обои под покраску (выкрашены в белый цвет),
- Напольное покрытие ламинат,
- Ванна закреплена,
- На балконе вентиляционное окно,
- Счетчики воды выведены,
- Домофон,
- Новый, цифровой тв. 

Звоните, пишите.","Санкт-Петербург, р-н Приморский, Юнтолово, просп. Королева, 57к1","22,6 м²","15,5 м²",,16 из 24,2016,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,Есть,1 балкон,Косметический,Во двор,3 пасс.,,,Есть,,60.028105,30.247138,https://spb.cian.ru/rent/flat/246703381/,,,Монолитный,,,,,,
55 000 ₽/мес.,"3-комн. квартира, 95 м²",Комендантский проспект, ⋅  3 мин. на транспорте,"Квартира в отличном состояние. Ранее не сдавалась. Жили сами собственники. Соответственно сделан хороший ремонт, стоит хорошая мебель и техника. Кухня встроенная , есть посудомойка. Из кухни вход в гостиную. Гостиная проходная (смотрите фото). Две комнаты изолированные. Есть кондиционер. Две лоджии. Все функционирует и отлично работает. Если нужна что-то дополнительно, то можно обсудить с собственником покупку за его счет, в пределах разумного. Сдается на длительный срок, с животными можно. Дом с закрытой территорией. Есть место в подземном паркинге за отдельную плату. Квартира чистая, уютная, приятно находиться. Развитая инфраструктура, магазины, кафе, аптеки, фитнес. Сдается на длительный срок. Продавать не собираемся. Залог можно выплатить в рассрочку.

ВСЕ КАК НА ФОТО!

Сдается через наше агентство. Заключаем договор.

Комиссия всего 50%","Санкт-Петербург, р-н Приморский, Юнтолово, Парашютная ул., 17К2",95 м²,60 м²,15 м²,3 из 4,2001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Смежно-изолированная,,2 раздельных,Есть,2 лоджии,Евроремонт,,,Нет,,,,60.019014,30.275228,https://spb.cian.ru/rent/flat/246702450/,2001,,,Железобетонные,2,Центральное,1.0,1.0,
